
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:18:6B:01:8F:D2, 2019-03-23 02:09:47, 2019-03-23 02:09:51,  6, 270, WPA2, CCMP, PSK, -91,        1,        1,   0.  0.  0.  0,  13, Keenetic-9069, 
50:FF:20:08:87:24, 2019-03-23 02:09:42, 2019-03-23 02:09:46,  3, 270, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,  13, Keenetic-4857, 
04:95:E6:E6:2F:18, 2019-03-23 02:09:35, 2019-03-23 02:09:50,  4, 270, WPA2, CCMP, PSK, -90,        8,        0,   0.  0.  0.  0,  12, Tenda_E62F18, 
7C:8B:CA:2C:3F:14, 2019-03-23 02:09:33, 2019-03-23 02:09:52,  1, 270, WPA2, CCMP, PSK, -90,       14,        0,   0.  0.  0.  0,  12, TP-LINK_3F14, 
50:C7:BF:E6:55:72, 2019-03-23 02:09:33, 2019-03-23 02:09:52,  1, 270, WPA2, CCMP, PSK, -45,       55,        4,   0.  0.  0.  0,  12, TP-Link_5572, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:57:EF:7D:2B:1D, 2019-03-23 02:09:43, 2019-03-23 02:09:44, -75,        4, (not associated) ,TP-Link_5572
50:9E:A7:8C:EF:6C, 2019-03-23 02:09:41, 2019-03-23 02:09:41, -63,        1, 50:C7:BF:E6:55:72,
D8:BB:2C:9E:A1:6C, 2019-03-23 02:09:33, 2019-03-23 02:09:33, -33,        2, 50:C7:BF:E6:55:72,

