LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2019-04-16 02:03:47,1900-01-00 00:00:00,,50:C7:BF:E6:55:72,-54,,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:47,1900-01-00 00:00:00,,E4:18:6B:01:8F:D2,-85,,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:47,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-53,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:47,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-51,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:47,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-82,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-51,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-83,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-80,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-84,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-83,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-85,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-82,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-89,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-86,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-57,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-84,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-57,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-58,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:48,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-87,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:49,1900-01-00 00:00:00,,04:95:E6:E6:2F:18,-87,,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:49,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-87,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:49,1900-01-00 00:00:00,Tenda_E62F18,04:95:E6:E6:2F:18,-89,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:49,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-86,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:49,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-86,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,,7C:8B:CA:2C:3F:14,-89,,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,TP-LINK_3F14,7C:8B:CA:2C:3F:14,-88,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,TP-LINK_3F14,7C:8B:CA:2C:3F:14,-86,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-51,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:50,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-85,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:51,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-59,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:51,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-83,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:51,1900-01-00 00:00:00,Keenetic-9069,E4:18:6B:01:8F:D2,-87,WPA2,0.000000,0.000000,0.000,0.000
2019-04-16 02:03:51,1900-01-00 00:00:00,TP-Link_5572,50:C7:BF:E6:55:72,-52,WPA2,0.000000,0.000000,0.000,0.000
